addr_state,debt_to_income_ratio,emp_length,loan_amnt,status,title,zip_code
NY,6.77%,< 1 year,17775.0,declined,Debt consolidation,109xx
AZ,21.98%,< 1 year,25000.0,declined,Home buying,857xx
FL,1033.1%,< 1 year,4000.0,declined,Debt consolidation,331xx
OH,45.3%,< 1 year,5000.0,declined,Debt consolidation,442xx
MN,0%,< 1 year,5000.0,declined,Other,558xx
NM,26.16%,< 1 year,7500.0,declined,Debt consolidation,882xx
KY,23.83%,< 1 year,12000.0,declined,Other,410xx
TX,35.2%,< 1 year,10000.0,declined,Debt consolidation,758xx
CO,49.9%,< 1 year,20000.0,declined,Credit card refinancing,809xx
CA,2.99%,< 1 year,15000.0,declined,Debt consolidation,923xx
CA,33.81%,< 1 year,23000.0,declined,Debt consolidation,920xx
TX,16.96%,< 1 year,25000.0,declined,Vacation,773xx
KS,45.44%,< 1 year,23000.0,declined,Debt consolidation,670xx
UT,9.9%,< 1 year,40000.0,declined,Debt consolidation,846xx
HI,35.24%,< 1 year,30000.0,declined,Credit card refinancing,968xx
MN,14.61%,< 1 year,10000.0,declined,Debt consolidation,554xx
SC,100%,1 year,23325.0,declined,Car financing,292xx
FL,331.33%,< 1 year,10000.0,declined,Other,347xx
TX,2.8%,< 1 year,1000.0,declined,Other,765xx
AL,16.71%,< 1 year,10000.0,declined,Other,361xx
IL,12.75%,< 1 year,30000.0,declined,Debt consolidation,600xx
GA,100%,< 1 year,20000.0,declined,Credit card refinancing,303xx
NE,67.04%,< 1 year,5000.0,declined,Debt consolidation,681xx
DE,33.44%,< 1 year,40000.0,declined,Debt consolidation,199xx
AL,21.97%,< 1 year,5000.0,declined,Debt consolidation,350xx
CA,0%,< 1 year,5000.0,declined,Debt consolidation,945xx
PA,-1%,< 1 year,300000.0,declined,Business Loan,190xx
NC,19.48%,< 1 year,5000.0,declined,Other,280xx
MI,49.24%,< 1 year,2500.0,declined,Medical expenses,481xx
NC,8.31%,< 1 year,10000.0,declined,Debt consolidation,274xx
WA,32.51%,< 1 year,5000.0,declined,Medical expenses,980xx
PA,18.62%,< 1 year,9000.0,declined,Credit card refinancing,181xx
TX,15.82%,< 1 year,10000.0,declined,Credit card refinancing,750xx
KY,3.49%,< 1 year,20000.0,declined,Debt consolidation,402xx
CA,6.72%,< 1 year,4000.0,declined,Debt consolidation,959xx
GA,14.84%,< 1 year,1500.0,declined,Major purchase,308xx
NC,19.39%,< 1 year,1500.0,declined,Debt consolidation,286xx
TX,116.6%,< 1 year,26000.0,declined,Car financing,775xx
FL,19.31%,< 1 year,10000.0,declined,Other,331xx
WV,0%,< 1 year,5500.0,declined,Other,261xx
NC,-1%,< 1 year,5000.0,declined,Business Loan,270xx
FL,100%,,14750.0,declined,Car financing,338xx
TX,1.36%,< 1 year,7500.0,declined,Other,775xx
TX,103.57%,< 1 year,10000.0,declined,Debt consolidation,750xx
AL,34.5%,< 1 year,25000.0,declined,Debt consolidation,362xx
AL,38.74%,< 1 year,27000.0,declined,Credit card refinancing,361xx
IL,33.59%,< 1 year,7000.0,declined,Home improvement,627xx
MD,17.89%,< 1 year,10000.0,declined,Debt consolidation,210xx
NJ,31.42%,8 years,10000.0,declined,Credit card refinancing,074xx
MN,34.57%,< 1 year,1200.0,declined,Credit card refinancing,563xx
TX,3.07%,< 1 year,6000.0,declined,Other,752xx
MO,9.85%,10+ years,10000.0,declined,Other,641xx
CA,4.22%,< 1 year,10000.0,declined,Debt consolidation,945xx
NM,31.17%,< 1 year,10000.0,declined,Debt consolidation,880xx
LA,45.24%,< 1 year,10000.0,declined,Debt consolidation,707xx
TX,100%,< 1 year,40000.0,declined,Debt consolidation,770xx
MS,0.85%,< 1 year,5000.0,declined,Home buying,386xx
IN,27.1%,< 1 year,10000.0,declined,Home improvement,471xx
OK,11.7%,< 1 year,4800.0,declined,Credit card refinancing,741xx
UT,8.91%,< 1 year,10000.0,declined,Debt consolidation,840xx
OH,63.7%,< 1 year,11000.0,declined,Debt consolidation,442xx
AL,0%,< 1 year,1000.0,declined,Other,364xx
CO,14.84%,< 1 year,20000.0,declined,Other,816xx
MA,29.89%,< 1 year,1000.0,declined,Other,010xx
KY,14.69%,< 1 year,25000.0,declined,Home buying,421xx
HI,127%,< 1 year,7000.0,declined,Debt consolidation,967xx
KS,1.69%,< 1 year,10000.0,declined,Other,660xx
SC,14.46%,< 1 year,5000.0,declined,Car financing,299xx
PA,47.62%,< 1 year,10000.0,declined,Home buying,164xx
CA,92.9%,< 1 year,30000.0,declined,Debt consolidation,925xx
VA,20.02,1 year,1800.0,accepted,Debt consolidation,238xx
NJ,20.41%,< 1 year,10000.0,declined,Credit card refinancing,070xx
TN,20.17%,< 1 year,5000.0,declined,Debt consolidation,377xx
CA,7.65%,10+ years,40000.0,declined,Other,917xx
OR,27.61%,< 1 year,10000.0,declined,Debt consolidation,970xx
WI,33.54%,< 1 year,15000.0,declined,Debt consolidation,546xx
OH,37.2%,4 years,15000.0,declined,Credit card refinancing,432xx
MA,0.4%,< 1 year,5000.0,declined,Other,021xx
GA,0.45%,< 1 year,10000.0,declined,Debt consolidation,301xx
SC,9.84,1 year,15000.0,accepted,Debt consolidation,295xx
FL,107.38%,< 1 year,30000.0,declined,Debt consolidation,328xx
GA,2.18%,< 1 year,2000.0,declined,Other,300xx
CA,100%,< 1 year,40000.0,declined,Business,900xx
OR,19.78%,< 1 year,30000.0,declined,Credit card refinancing,972xx
CA,12.92%,< 1 year,9000.0,declined,Credit card refinancing,908xx
VA,3.14%,< 1 year,12000.0,declined,Debt consolidation,229xx
FL,47.19%,< 1 year,2000.0,declined,Debt consolidation,335xx
TX,100%,< 1 year,16050.0,declined,Car financing,760xx
FL,17.48%,< 1 year,8000.0,declined,Credit card refinancing,331xx
MD,32.03%,< 1 year,10000.0,declined,Other,212xx
NY,69.73%,< 1 year,12000.0,declined,Credit card refinancing,117xx
OH,42.92%,< 1 year,30000.0,declined,Credit card refinancing,437xx
FL,21.86%,< 1 year,21000.0,declined,Credit card refinancing,337xx
IN,9.58%,< 1 year,15000.0,declined,Debt consolidation,463xx
PA,27.2%,< 1 year,1500.0,declined,Other,196xx
OH,28.65%,< 1 year,20000.0,declined,Debt consolidation,430xx
WI,17.37%,< 1 year,3000.0,declined,Home buying,532xx
NY,15.97%,< 1 year,29000.0,declined,Major purchase,114xx
NY,22.37%,< 1 year,4000.0,declined,Credit card refinancing,134xx
MI,16.84,2 years,9000.0,accepted,Debt consolidation,483xx
CO,13.13%,< 1 year,24000.0,declined,Debt consolidation,801xx
FL,20.94%,< 1 year,1500.0,declined,Other,336xx
TX,28.01%,< 1 year,5000.0,declined,Credit card refinancing,761xx
NJ,1.64%,< 1 year,5000.0,declined,Credit card refinancing,088xx
MI,21.53%,< 1 year,40000.0,declined,Debt consolidation,483xx
TN,21.04%,< 1 year,2000.0,declined,Other,381xx
FL,2.43%,< 1 year,1000.0,declined,Credit card refinancing,331xx
GA,55.07%,< 1 year,8000.0,declined,Debt consolidation,310xx
NJ,100%,< 1 year,13000.0,declined,Debt consolidation,080xx
TX,40.81%,< 1 year,10000.0,declined,Credit card refinancing,770xx
PA,2%,< 1 year,12500.0,declined,Vacation,174xx
FL,5.74%,< 1 year,5000.0,declined,Debt consolidation,327xx
NC,100%,< 1 year,3000.0,declined,Other,283xx
OH,6.63%,< 1 year,1000.0,declined,Credit card refinancing,452xx
IL,23.57%,< 1 year,5000.0,declined,Debt consolidation,601xx
PA,43.26%,< 1 year,40000.0,declined,Debt consolidation,160xx
OH,49.15%,< 1 year,1000.0,declined,Other,446xx
KS,17.63%,< 1 year,18000.0,declined,Car financing,675xx
WI,22.86%,< 1 year,20000.0,declined,Credit card refinancing,532xx
MO,9.99%,< 1 year,35000.0,declined,Other,630xx
MN,19.04%,< 1 year,15000.0,declined,Debt consolidation,558xx
CA,28.41%,< 1 year,17000.0,declined,Debt consolidation,930xx
TX,11.85%,< 1 year,1000.0,declined,Debt consolidation,798xx
FL,35.5%,< 1 year,25000.0,declined,Credit card refinancing,339xx
CA,21.23,2 years,12000.0,accepted,Credit card refinancing,931xx
DC,18.72%,< 1 year,25000.0,declined,Credit card refinancing,200xx
CO,26.36%,< 1 year,20000.0,declined,Debt consolidation,810xx
OH,1.03%,< 1 year,5000.0,declined,Debt consolidation,441xx
MN,28.59%,< 1 year,10000.0,declined,Other,565xx
OH,100%,< 1 year,13000.0,declined,Debt consolidation,445xx
KS,22.64%,< 1 year,6000.0,declined,Credit card refinancing,672xx
CA,100%,1 year,29025.0,declined,Car financing,951xx
OH,27.92%,< 1 year,20000.0,declined,Business,436xx
TX,43.54%,< 1 year,24000.0,declined,Debt consolidation,794xx
VA,0.02%,< 1 year,5000.0,declined,Other,237xx
MD,44.14%,< 1 year,7000.0,declined,Debt consolidation,207xx
CT,249.33%,< 1 year,5000.0,declined,Debt consolidation,063xx
PA,33.59%,< 1 year,35000.0,declined,Debt consolidation,156xx
NC,18.95%,< 1 year,30000.0,declined,Debt consolidation,275xx
FL,100%,< 1 year,7400.0,declined,Car financing,336xx
NY,20.16%,3 years,10000.0,declined,Credit card refinancing,113xx
OK,11.63%,< 1 year,1000.0,declined,Other,744xx
FL,9.7%,6 years,10000.0,declined,Debt consolidation,344xx
NH,27.42%,< 1 year,10000.0,declined,Debt consolidation,036xx
MA,39.06%,< 1 year,15000.0,declined,Other,017xx
HI,88.23%,< 1 year,20000.0,declined,Debt consolidation,967xx
TN,55.68%,< 1 year,5000.0,declined,Debt consolidation,384xx
WI,100%,< 1 year,26000.0,declined,Home buying,547xx
NC,139.16%,< 1 year,15000.0,declined,Debt consolidation,284xx
GA,7.15%,< 1 year,2000.0,declined,Car financing,303xx
OH,9.34%,< 1 year,1000.0,declined,Other,432xx
UT,40.53%,< 1 year,12000.0,declined,Credit card refinancing,840xx
NY,8.06%,< 1 year,40000.0,declined,Debt consolidation,112xx
MA,0.04%,< 1 year,5000.0,declined,Other,018xx
MT,14.9%,< 1 year,10000.0,declined,Debt consolidation,599xx
WA,40.33%,< 1 year,10000.0,declined,Debt consolidation,984xx
OH,100%,< 1 year,1000.0,declined,Other,440xx
NJ,2.06%,< 1 year,5000.0,declined,Credit card refinancing,087xx
NJ,114.43%,< 1 year,25000.0,declined,Debt consolidation,070xx
IL,91.93%,< 1 year,19000.0,declined,Credit card refinancing,623xx
CT,0.04%,< 1 year,20000.0,declined,Debt consolidation,061xx
CA,10.72%,< 1 year,10000.0,declined,Debt consolidation,950xx
VA,21.46%,< 1 year,15000.0,declined,Credit card refinancing,240xx
OH,20.1%,< 1 year,1000.0,declined,Medical expenses,434xx
PA,6.03,2 years,20000.0,accepted,Home improvement,165xx
PA,34.02%,< 1 year,13000.0,declined,Debt consolidation,152xx
MD,0%,< 1 year,5000.0,declined,Debt consolidation,212xx
MA,33.2%,< 1 year,1000.0,declined,Other,021xx
NC,25.23%,< 1 year,20000.0,declined,Debt consolidation,276xx
CA,6.79%,< 1 year,10000.0,declined,Major purchase,958xx
NJ,21.38%,< 1 year,30000.0,declined,Credit card refinancing,088xx
WI,0%,< 1 year,40000.0,declined,Other,535xx
FL,7.91%,< 1 year,1500.0,declined,Credit card refinancing,331xx
MS,6.31%,< 1 year,10000.0,declined,Credit card refinancing,390xx
GA,100%,< 1 year,1000.0,declined,Other,305xx
KY,24.97%,< 1 year,5000.0,declined,Debt consolidation,406xx
AZ,0%,< 1 year,25000.0,declined,Debt consolidation,852xx
CO,8.2,,2700.0,accepted,Debt consolidation,805xx
TX,11.15%,3 years,15000.0,declined,Home improvement,752xx
FL,19.6%,< 1 year,12000.0,declined,Business,334xx
MO,46.18%,< 1 year,1000.0,declined,Credit card refinancing,652xx
MO,20.53%,< 1 year,2075.0,declined,Debt consolidation,631xx
TX,96.77%,< 1 year,33000.0,declined,Debt consolidation,766xx
MT,14.59%,< 1 year,25000.0,declined,Credit card refinancing,598xx
MN,3.26%,< 1 year,10000.0,declined,Credit card refinancing,554xx
MO,24.22%,< 1 year,3000.0,declined,Other,651xx
LA,51.95%,< 1 year,15000.0,declined,Debt consolidation,704xx
KY,25.25%,9 years,20000.0,declined,Debt consolidation,403xx
IN,23.19%,< 1 year,35000.0,declined,Debt consolidation,462xx
MN,55.21%,< 1 year,4000.0,declined,Credit card refinancing,560xx
NJ,8380%,< 1 year,20000.0,declined,Debt consolidation,070xx
TN,59.83%,< 1 year,25000.0,declined,Debt consolidation,377xx
AZ,100%,< 1 year,10000.0,declined,Other,852xx
VA,0%,< 1 year,15000.0,declined,Debt consolidation,223xx
MI,3.74%,< 1 year,1000.0,declined,Home buying,490xx
CO,0.53%,< 1 year,20000.0,declined,Home buying,800xx
CT,45.87%,< 1 year,35000.0,declined,Credit card refinancing,062xx
PA,31.08%,< 1 year,10000.0,declined,Home buying,187xx
IL,0%,< 1 year,10000.0,declined,Other,601xx
VA,25.11%,< 1 year,8000.0,declined,Credit card refinancing,231xx
VA,271.08%,< 1 year,10000.0,declined,Debt consolidation,238xx
TX,12.97%,< 1 year,10000.0,declined,Debt consolidation,796xx
CA,2.36%,< 1 year,1000.0,declined,Other,953xx
CO,15.57%,< 1 year,10000.0,declined,Credit card refinancing,801xx
FL,18.21,1 year,12000.0,accepted,Debt consolidation,327xx
IL,2.9%,< 1 year,7000.0,declined,Credit card refinancing,606xx
KY,20.58,5 years,24000.0,accepted,Credit card refinancing,420xx
FL,44.92%,< 1 year,4000.0,declined,Credit card refinancing,335xx
MD,44.64%,< 1 year,35000.0,declined,Credit card refinancing,206xx
NY,-1%,< 1 year,80000.0,declined,Business Loan,115xx
FL,25.44,2 years,15000.0,accepted,Other,331xx
NC,100%,< 1 year,1000.0,declined,Debt consolidation,287xx
HI,32%,< 1 year,10000.0,declined,Debt consolidation,967xx
ME,25.92%,< 1 year,4000.0,declined,Debt consolidation,041xx
CA,10.85%,< 1 year,5000.0,declined,Other,923xx
TX,247.16%,< 1 year,40000.0,declined,Debt consolidation,762xx
MA,7.94%,< 1 year,25000.0,declined,Debt consolidation,021xx
FL,15.26%,< 1 year,20000.0,declined,Home improvement,346xx
WA,30.81%,< 1 year,10000.0,declined,Debt consolidation,989xx
FL,19.84%,< 1 year,10000.0,declined,Credit card refinancing,333xx
NH,0%,< 1 year,2000.0,declined,Debt consolidation,030xx
CA,14.3%,< 1 year,6000.0,declined,Credit card refinancing,917xx
CA,24.71%,< 1 year,5000.0,declined,Credit card refinancing,908xx
PA,9.6%,< 1 year,3000.0,declined,Debt consolidation,191xx
FL,3.05%,< 1 year,2000.0,declined,Moving and relocation,327xx
NJ,25.85%,< 1 year,8000.0,declined,Credit card refinancing,088xx
CA,100%,< 1 year,18000.0,declined,Debt consolidation,921xx
WA,8.37%,< 1 year,2000.0,declined,Other,986xx
MO,33.72%,< 1 year,40000.0,declined,Credit card refinancing,631xx
MA,1.15%,< 1 year,10000.0,declined,Debt consolidation,027xx
NY,29.65%,< 1 year,10000.0,declined,Debt consolidation,115xx
AZ,32.48%,< 1 year,10000.0,declined,Debt consolidation,853xx
PA,43.49%,< 1 year,10000.0,declined,Debt consolidation,186xx
VA,508.66%,< 1 year,40000.0,declined,Debt consolidation,232xx
CA,15.96%,< 1 year,30000.0,declined,Debt consolidation,945xx
NY,8.2%,< 1 year,20000.0,declined,Debt consolidation,104xx
LA,24.36%,< 1 year,1000.0,declined,Business,707xx
FL,32.57%,< 1 year,2500.0,declined,Debt consolidation,328xx
CA,19%,< 1 year,15000.0,declined,Debt consolidation,958xx
KS,5.13%,< 1 year,10000.0,declined,Debt consolidation,672xx
AZ,25.28%,< 1 year,5000.0,declined,Debt consolidation,852xx
TN,0%,< 1 year,1400.0,declined,Other,370xx
NJ,27.69%,< 1 year,5000.0,declined,Credit card refinancing,078xx
FL,41.26%,< 1 year,9000.0,declined,Medical expenses,331xx
MI,46.93%,< 1 year,9000.0,declined,Medical expenses,493xx
IN,13.16%,< 1 year,5000.0,declined,Debt consolidation,469xx
MD,9.06,7 years,15000.0,accepted,Debt consolidation,207xx
TX,30.69%,< 1 year,3000.0,declined,Credit card refinancing,770xx
FL,31.88%,< 1 year,40000.0,declined,Debt consolidation,333xx
FL,0.68%,< 1 year,5000.0,declined,Debt consolidation,347xx
FL,23.13%,< 1 year,25000.0,declined,Other,347xx
PA,5.37%,,2000.0,declined,Debt consolidation,186xx
CA,100%,< 1 year,35000.0,declined,Credit card refinancing,945xx
CA,141.04%,< 1 year,3000.0,declined,Credit card refinancing,913xx
IL,100%,< 1 year,25000.0,declined,Credit card refinancing,606xx
FL,29.07,10+ years,9600.0,accepted,Debt consolidation,329xx
LA,100%,< 1 year,5000.0,declined,Debt consolidation,701xx
CA,55.68%,< 1 year,5000.0,declined,Credit card refinancing,930xx
MA,21.21%,< 1 year,10000.0,declined,Credit card refinancing,027xx
AZ,11.14%,< 1 year,21000.0,declined,Debt consolidation,853xx
FL,24.25%,< 1 year,2000.0,declined,Debt consolidation,326xx
CA,32.75%,< 1 year,10000.0,declined,Debt consolidation,902xx
TN,63.65%,< 1 year,10000.0,declined,Debt consolidation,372xx
FL,100%,< 1 year,1000.0,declined,Other,326xx
VA,0.96%,< 1 year,5000.0,declined,Other,245xx
PA,11.63%,< 1 year,10000.0,declined,Credit card refinancing,152xx
VA,33.47%,< 1 year,14000.0,declined,Credit card refinancing,240xx
FL,30.34%,< 1 year,15000.0,declined,Debt consolidation,338xx
MD,12.76%,< 1 year,8000.0,declined,Major purchase,211xx
NY,-1%,< 1 year,100000.0,declined,Business Loan,100xx
CA,3.9%,< 1 year,2000.0,declined,Credit card refinancing,926xx
NC,3.98%,< 1 year,10000.0,declined,Other,275xx
CA,1.25%,< 1 year,2600.0,declined,Other,920xx
AL,19.21%,< 1 year,5000.0,declined,Debt consolidation,363xx
FL,100%,< 1 year,15000.0,declined,Credit card refinancing,338xx
KS,58.62%,< 1 year,10000.0,declined,Credit card refinancing,665xx
NC,6.62%,< 1 year,10000.0,declined,Debt consolidation,273xx
WI,9.68%,< 1 year,35000.0,declined,Debt consolidation,532xx
CA,36.08%,< 1 year,1000.0,declined,Credit card refinancing,917xx
NC,100%,< 1 year,40000.0,declined,Debt consolidation,281xx
WI,30.53%,< 1 year,1000.0,declined,Debt consolidation,535xx
OH,28666.67%,< 1 year,10000.0,declined,Other,454xx
FL,-1%,< 1 year,100000.0,declined,Business Loan,336xx
MS,0.38%,< 1 year,5000.0,declined,Other,391xx
LA,34.35%,< 1 year,11000.0,declined,Credit card refinancing,707xx
TN,9.03%,< 1 year,2000.0,declined,Other,381xx
MA,43.15%,< 1 year,10000.0,declined,Debt consolidation,018xx
FL,24.04,3 years,13500.0,accepted,Debt consolidation,324xx
AR,580%,< 1 year,2000.0,declined,Debt consolidation,724xx
TX,5.97,,8000.0,accepted,Other,750xx
FL,42.13%,< 1 year,10000.0,declined,Debt consolidation,328xx
NY,0%,< 1 year,6000.0,declined,Car financing,148xx
NJ,7.42%,< 1 year,5000.0,declined,Other,080xx
CA,100%,< 1 year,20275.0,declined,Car financing,953xx
FL,100%,1 year,18300.0,declined,Car financing,334xx
NC,55.18%,< 1 year,5000.0,declined,Business,282xx
FL,28.86%,1 year,10000.0,declined,Debt consolidation,344xx
AL,35.5%,< 1 year,3000.0,declined,Debt consolidation,366xx
PA,100%,< 1 year,5000.0,declined,Other,195xx
NY,46.94%,< 1 year,29750.0,declined,Debt consolidation,149xx
AZ,171.52%,< 1 year,10000.0,declined,Home improvement,857xx
DC,26.83%,< 1 year,10000.0,declined,Medical expenses,200xx
IL,35.09%,7 years,10000.0,declined,Debt consolidation,604xx
MO,0.78%,< 1 year,9000.0,declined,Home buying,631xx
MI,25.17%,< 1 year,5000.0,declined,Other,488xx
CA,15%,< 1 year,10000.0,declined,Other,928xx
MI,30.78%,< 1 year,12000.0,declined,Other,498xx
PA,10.23%,< 1 year,8000.0,declined,Debt consolidation,186xx
CA,4.86%,< 1 year,2000.0,declined,Credit card refinancing,945xx
WA,31.91%,< 1 year,10000.0,declined,Debt consolidation,980xx
CA,18.79%,< 1 year,10000.0,declined,Other,907xx
NJ,15.4%,< 1 year,30000.0,declined,Credit card refinancing,074xx
OH,23.48%,< 1 year,30000.0,declined,Home improvement,442xx
NJ,40.36%,< 1 year,7000.0,declined,Credit card refinancing,082xx
NC,12.87%,< 1 year,10000.0,declined,Debt consolidation,273xx
IL,3.28%,< 1 year,10000.0,declined,Credit card refinancing,606xx
TX,22.29%,< 1 year,20000.0,declined,Debt consolidation,787xx
IL,13.46%,< 1 year,5000.0,declined,Vacation,605xx
FL,2.84%,< 1 year,5000.0,declined,Other,322xx
DC,46.53%,< 1 year,5000.0,declined,Debt consolidation,200xx
IL,7.87%,< 1 year,7000.0,declined,Debt consolidation,605xx
IL,32.9%,< 1 year,8000.0,declined,Debt consolidation,891xx
WA,0%,< 1 year,5000.0,declined,Other,993xx
WI,45.2%,< 1 year,35000.0,declined,Debt consolidation,531xx
OH,2.54%,< 1 year,10000.0,declined,Other,440xx
CA,18.08%,< 1 year,15000.0,declined,Home buying,961xx
MA,0%,< 1 year,2000.0,declined,Credit card refinancing,016xx
OH,27.8%,< 1 year,5000.0,declined,Home improvement,432xx
AZ,18.83%,< 1 year,12000.0,declined,Other,853xx
CA,1.73%,< 1 year,3000.0,declined,Other,919xx
WA,8.85%,< 1 year,5000.0,declined,Debt consolidation,980xx
ID,42.1%,< 1 year,20000.0,declined,Debt consolidation,836xx
NV,33.43%,< 1 year,10000.0,declined,Home buying,891xx
TX,24.61%,< 1 year,10000.0,declined,Debt consolidation,774xx
FL,100%,,17350.0,declined,Car financing,328xx
IL,36.78%,< 1 year,15000.0,declined,Debt consolidation,606xx
CA,14.62%,< 1 year,1500.0,declined,Other,945xx
CA,125.83%,< 1 year,20000.0,declined,Vacation,952xx
NJ,53.8%,< 1 year,20000.0,declined,Debt consolidation,073xx
TX,11.16%,< 1 year,40000.0,declined,Home buying,765xx
NE,36.88%,< 1 year,5000.0,declined,Credit card refinancing,689xx
MI,23.28%,< 1 year,15000.0,declined,Credit card refinancing,481xx
GA,52.16%,< 1 year,1000.0,declined,Other,310xx
WY,41.6%,< 1 year,5000.0,declined,Debt consolidation,826xx
CA,100%,< 1 year,25000.0,declined,Debt consolidation,923xx
TX,100%,< 1 year,1000.0,declined,Other,766xx
AZ,31.8%,< 1 year,12000.0,declined,Other,850xx
OH,28.16%,< 1 year,1000.0,declined,Other,448xx
SC,23.18%,< 1 year,5000.0,declined,Debt consolidation,296xx
CA,48.49%,< 1 year,40000.0,declined,Debt consolidation,952xx
OK,23.28%,< 1 year,6000.0,declined,Debt consolidation,730xx
NY,17.39%,< 1 year,24000.0,declined,Other,113xx
MI,36.43%,< 1 year,15000.0,declined,Other,483xx
NC,3.09%,< 1 year,1000.0,declined,Business,275xx
FL,445.17%,< 1 year,40000.0,declined,Home buying,349xx
CA,8.78%,< 1 year,1000.0,declined,Medical expenses,917xx
CA,3.5%,< 1 year,5000.0,declined,Medical expenses,926xx
AK,100%,< 1 year,5000.0,declined,Other,996xx
MN,16.81%,< 1 year,20000.0,declined,Debt consolidation,551xx
AK,22.16%,< 1 year,35000.0,declined,Credit card refinancing,997xx
CA,27.05%,< 1 year,3000.0,declined,Debt consolidation,945xx
CA,1.71%,< 1 year,2000.0,declined,Other,907xx
IL,25.85%,< 1 year,10000.0,declined,Debt consolidation,600xx
TX,9.6%,< 1 year,10000.0,declined,Other,752xx
VA,18.72%,2 years,35000.0,declined,Debt consolidation,241xx
MA,44.08%,< 1 year,2000.0,declined,Other,026xx
FL,15.19%,< 1 year,1000.0,declined,Debt consolidation,323xx
KY,24.77%,< 1 year,2500.0,declined,Debt consolidation,402xx
